address,attempts,attempts_refunded,mint_received,refund_missing
DZXdGtqwNtDqr7zA9NAMXLJMcwBc7LSJTjqQ19uvtxs8,1,0,1,0
FcJCihaJQDy8nemvBAawgjYMSFjvuk22v9zsjcWxomZ9,1,0,1,0
7qWnDYSrC62HWk3TzZ8a4xug4HNnkXtAZnazZv4LRrmh,2,1,1,0
7qwHDmJYrY84V8GDYBGfdSgawVgSGwrG2A8MzaWn5vvU,5,4,1,0
9vci4AbLkdhGqesxLoJ82kaLujAR4HjzZ1YzFZj4qrAS,1,0,1,0
CL1dYgs4WS7sewjKjKT28xuHP9XKBYoTQZAW6sHybPKU,6,5,1,0
27krhRkpc2UJAg44tUv6kTLh5o9euFnyY6dKGRAphAi4,1,0,1,0
966ompcpEJvLWVYiugrsEgXk3muAUQG2fvFLcZktV5Sm,7,6,1,0
2PuUJMdekbCpLS438LMaCgnzpStkjhi6aVhivfHaHGkA,4,3,1,0
GudLDEWcXqCqxuHyjQPXGC1k6UT7nzunDC5uTp9aVErW,2,1,1,0
8sSgc6jGrBMtXFuq9UKbRDMR93kufYocL1E5eiCWe9Zb,1,0,1,0
5nznez3zokiLEt1vNFe9YTvhuFeJbtwUP4EFwwDDqyry,1,0,1,0
EsfZM7rYRkAcQmMQPLfdik6bEid4pXdny5ug1oVnkn2A,2,1,1,0
J6nepse71xnk4hLyspPdLnnymksw1a5JkBoaLTQK5K3c,1,0,1,0
7nnbGJEiFcTigH3Y66nfVqKxNEHYeCHAUTRqYWUDojtp,2,1,1,0
AJTXRM7MFX2GDjSoknw1PSE4Qrn6Xg3wbEorZUiHqaLx,1,0,1,0
12SscQHSba3VJCzLA3CawqYBMq1Xan4M83s6QarU7Ycw,6,5,1,0
ArQQJzNX5PZhX4pYe3GhD94neaS3aVb2tvKo66yCNHXQ,1,0,1,0
GA9kozeFBYMuWxpZvrZ8JtrmcoQ9cqM9KDLpZGrrCzQt,1,0,1,0
eiJ7YCQxo2svvfuSWHzDB9gf4jYBTRYsm4UGcz1ooBf,4,3,1,0
HTN9Us3ER518FnoZZxMMXJmGgpe9SmTkpxG7sj7pu35X,5,4,1,0
J48ff45bMyb7dJjJqjfQhRZsjyW8QfYEdQjextymsbCc,5,4,1,0
9sUgXq8BJXSEfNJ97fcvGuWQZQkMCevR3xJLUhc31QC,3,2,1,0
85mD9co2ZW3f25Wszx21M3piScVfMYQnWq8v6fuQFfAN,3,2,1,0
BLq8VTNLCe3ujgvQJs5nCqiTrQDmVPNJf4secVgAxnRM,1,0,1,0
9xjhMAdHVSAdHbgme4syUuG38esRxiGxivCusJnQWAg,4,3,1,0
71HKxkybZ5tb3LxktBrJcyhkckQ7LyZNxE7beEt4BXa2,2,1,1,0
95SBuDGrJVnbXYT1GUWimoXrgHd83xibT5Puf77Pmgji,1,0,1,0
FSq4uvSDPrXmTVnxHnteJDgwxSvV4QiyRdgBnSLakRJg,2,1,1,0
CCE5pvEGABEMww6o7qgoXyQ6LdewB4DCs9dK1T6Qtuyc,5,4,1,0
7xDshXyzF92AYi3PYdHx6UHMEX8qkWUo3wtRuP3dYDMv,5,4,1,0
8c62mWAYxLpkuyrTp67D6terqt9QupQnhQvqWjRrCnNp,5,4,1,0
nHXRnpuN7F3enkz3s1UqKhdKUsy9cKZWa1BPwBMHf3D,3,2,1,0
3duwqoBAUnFBfg9JkhDdK39sgiFJPdJz9Nw3g1Yu4rEB,1,0,1,0
8yPHCEfkkjyeyRKmfFMgpZGZkvqj7aqeLFijGu2E7Z7S,1,0,1,0
HEtY9ZqBsM6gQDkuz7KUGrhh9hd9DX4WX29dnKrhb2Jm,2,1,1,0
AQjwJWu46CZ83oWpsLvvtieMcpTymmmoDeMsyh4tXBnG,5,4,1,0
GpBHymJLjUtywRuxQbxfKDP2hEZsC1brAWWkMUj98q93,5,4,1,0
Bt9vz55JpTf6g9rRK7yqbafU5f5zZM6TP5iB3sVy1Se8,1,0,1,0
2jcHYjj34mkvssiHwNNrjhEck2dmXtmhgA3VoFewvXjj,5,4,1,0
8XeApyJUxiZwdUwnqmfs1kf4nH4oEvWCVHCmyZrdcyps,1,0,1,0
3i123wgzRqMqtasYmNtaNjkStRPsmaL3R8Fvz1GSx9kM,1,0,1,0
9QXuNc8m217FWXy9H6dZUVpcjfRTd2Kmy6Ej3UGxL5Z9,2,1,1,0
G3qUNJZSiv5d9cXP8D1xT4ziLrSjHCW53FKXYMKJ6Cmr,1,0,1,0
8QmxrBwsjXVxUgHVkKrUuuc7JLeYcb966RTNs17KATRB,4,3,1,0
8pD5duu1dkeG9BjKeroHHYYxdxK7QekoRTD6KozQFPdS,1,0,1,0
9m8NBpUswzLjt85xsRSijJP88DYV4zSs1GbbCAWEb23X,1,0,1,0
44MQvQgZipDHkUg9kPRH9Y2YcWCyU7FwmZc2JQfcKqWW,3,2,1,0
ErZZd3HDnEcjgLXHG7LAciNBEP752ikAAVzDmUK6TvMN,1,0,1,0
EFkLbAvjWT6QdyLrjVuQ5kf8kRfFVd2MjNp91WvtPAP4,1,0,1,0
BZDMdVNQLJYNjA8xApDZ7aFjnLKDQe8fV6PWgjTxBCKa,1,0,1,0
7Nga9aNSkjTQgxuCzPVnF1SZ4VcYBWdtdf6ywuy1FYkH,2,1,1,0
5p9e1pzbqFy2udmGuMLsEs4CeET1EXjQVHDxz6NJ73Gu,3,2,1,0
7mmoM17WDZfN5w8iiH9XMFHF1bnS5KdicHJe6JA7vexg,3,2,1,0
D5ZrdzoQeHEg2qezAXhtB2FkPZqE7zUQp97TvsL4fbz6,2,1,1,0
GapFJWNJVgQAuT2ykGNoqNk9LkBPHr6eziZyNhraLMMQ,7,6,1,0
BdRwqMV74EXkSTX66xpZDf2EaDTA232bwMYF78ynjGWJ,4,3,1,0
5Sk8q7v3bHUcqv6gk9Z94iFi1RaxFouxtFyt7T7uvYk6,2,1,1,0
Hg1SRundkzYFnyCip9QaD4JfkPGR9BYXFoALYDcuLPP1,3,2,1,0
AyVCrFz6EqZfMDSjuk7yuRRbgWom97CyLwduTXwJ7uVN,1,0,1,0
EapxPxxBmhwfA2vNvy7eJ6bTcsn4kdoJy4viQvyAMMfw,1,0,1,0
B57g9MNYifqjgwZCq6mgMDXCc8VvaUBHafS3rAFktGbJ,2,1,1,0
moneyzCt4ECypUjuv5f2vRz5WwmX4shKJKLqSJxxgYN,3,2,1,0
qJfFgaSp7UcLFmD8z2n4vogWKGzRKdZA8VUoSjxRuoK,2,1,1,0
7PoHns6XAd6gSdQgoUzjkpGAWhqzC7BTYaC6GmtEeguZ,4,3,1,0
96xqXksXQWQVovWGu84XCnsVCUjtAfUA23uJnjL4yhBE,2,1,1,0
AnMCBJjWrTaZiShNcmai5TYhmzX4pHJA74pMYEsxoGtu,3,2,1,0
FpraMxfK3Po9oBKdykhn8HP4UdJRAHrXSxMxoJdVC8ja,2,1,1,0
8CQTpzCBnAJGoMVbp2P7H6VzThyQvPv3pzLyswvPSLBw,1,0,1,0
7sdJLeYsyHWDVFrewnX1GMF5C5oYH7H48S4wZfZdft4F,5,4,1,0
27HmaxV2WwdZihMiyywAE7VPguzK9UaEFZNbBRZ5rTuJ,1,0,1,0
E6oAqowUM2tDdfeVuCQKeuCi2pTD8irYqbZQ3Lr6uMm5,4,3,1,0
C1pqqpiSUaykwdND53EezYUdViePbTF8Vv5pE17Yti2w,1,0,1,0
DrZEXmSKEjxSrSmhDuj8M9f53ugT6waijokKzRoYsmEd,5,4,1,0
GhyeNbtGxdAB5pE5t6PoFasNap2gkKSSywE3hgT3hZ3d,1,0,1,0
GwcyXBvLG48Fc7HrcEo4F4qKhV86LPEGav6Ksud3Ce82,1,0,1,0
3dEBxcjoZSEgDAcHThvi624C8dXi5Ck4aTyPJZHBw7eh,3,2,1,0
BNQLRNMcM1DVD3uLNKd4EqwxwJ6ekys9pGz8CgLm32Zx,5,4,1,0
4DZpHzq5DdJftHngiGPgU6DLLePhpnPpGUsmm3w7AZZr,1,0,1,0
28DRbXgBXTi3HYnyuWaWo6ohPhHasPpedASF3qWFuzdV,4,3,1,0
7RtkucyqgE87TW11GaaZPm2NpHGFur9y4gSXiWGQEnrQ,1,0,1,0
5tXpNxFEYiiyLuXjrgsFY3FkvYrLM1J52kiQN9tMjTds,6,5,1,0
